Place,Status,Region,Lat,Lon,Elev,Pop,Bed,Bath,Price,isFurnished
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1100,0
Legion,1,1,5.65,-0.18,249,445789,5,6,800,0
Legon,1,1,5.65,-0.18,249,445789,5,6,800,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1100,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1100,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,3,120,0
Spintex Road,1,1,5.64,-0.10,219,306890,2,2,130,0
Spintex Road,1,1,5.64,-0.10,219,306890,1,2,700,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,150,0
Legion,1,1,5.65,-0.18,249,445789,4,5,570,0
Legon,1,1,5.65,-0.18,249,445789,4,5,570,0
Legion,1,1,5.65,-0.18,249,445789,4,5,970,0
Legon,1,1,5.65,-0.18,249,445789,4,5,970,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1400,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1400,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,5,1500,0
Legion,1,1,5.65,-0.18,249,445789,3,4,800,0
Legon,1,1,5.65,-0.18,249,445789,3,4,800,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1100,0
